# tag, sector, industry, tag_id
VOD.L, Communication Services, Telecom Services, 1
MPAD, Technology, Electronic Components, 6444
MPB, Financial Services, Banks - Regional, 6445
MPC, Energy, Oil & Gas Refining & Marketing, 6446
MPLN, Healthcare, Healthcare Plans, 6449
MPLX, Energy, Oil & Gas Midstream, 6450
MPNGY, Consumer Cyclical, Internet Retail, 6451
MPW, Real Estate, REIT - Healthcare Facilities, 6453
MPWR, Technology, Semiconductors, 6454
MPX, Consumer Cyclical, Recreational Vehicles, 6455
MQBKY, Financial Services, Capital Markets, 6456
MRAAY, Technology, Electronic Components, 6457
MRAC, Financial Services, Shell Companies, 6458
MRAM, Technology, Semiconductors, 6459
MRBK, Financial Services, Banks - Regional, 6460
MRC, Energy, Oil & Gas Equipment & Services, 6461
MRC.L, Energy, Oil & Gas Equipment & Services, 6462
MRCC, Financial Services, Mortgage Finance, 6463
MRCY, Industrials, Aerospace & Defense, 6465
MREO, Healthcare, Biotechnology, 6466
MRGO, Consumer Cyclical, Home Improvement Retail, 6467
MRIN, Technology, Software - Application, 6468
MRK.DE, Healthcare, Drug Manufacturers - General, 6469
MRK, Healthcare, Drug Manufacturers - General, 6470
MRKR, Healthcare, Biotechnology, 6471
MRLN, Financial Services, Credit Services, 6474
MRM, Consumer Cyclical, Personal Services, 6475
MRMD, Healthcare, Drug Manufacturers - Specialty & Generic, 6476
MRNA, Healthcare, Biotechnology, 6477
MRNS, Healthcare, Biotechnology, 6478
MRO, Energy, Oil & Gas E&P, 6479
MRO.L, Energy, Oil & Gas E&P, 6480
MRPLY, Consumer Cyclical, Apparel Retail, 6481
MRSN, Healthcare, Biotechnology, 6482
MRTI, Real Estate, REIT - Residential, 6483
MRTN, Industrials, Trucking, 6484
MRTX, Healthcare, Biotechnology, 6485
MRUS, Healthcare, Biotechnology, 6486
MRVI, Healthcare, Biotechnology, 6487
MRVL, Technology, Semiconductors, 6488
MS, Financial Services, Capital Markets, 6490
MSA, Industrials, Security & Protection Services, 6491
MSAC, Financial Services, Shell Companies, 6492
MSADY, Financial Services, Insurance - Property & Casualty, 6493
MSBC, Financial Services, Banks - Regional, 6495
MSBI, Financial Services, Banks - Regional, 6496
MSC, Consumer Cyclical, Resorts & Casinos, 6497
MSCI, Financial Services, Financial Data & Stock Exchanges, 6498
MSDA, Financial Services, Shell Companies, 6499
MSEX, Utilities, Utilities - Regulated Water, 6502
MSFT, Technology, Software - Infrastructure, 6508
MSGE, Communication Services, Entertainment, 6509
MSGM, Communication Services, Electronic Gaming & Multimedia, 6510
MSGN, Communication Services, Entertainment, 6511
MSGS, Communication Services, Entertainment, 6512
MSI, Technology, Communication Equipment, 6513
MSI.L, Technology, Communication Equipment, 6514
MSLOY, Industrials, Marine Shipping, 6516
MSM, Industrials, Industrial Distribution, 6517
MSN, Technology, Consumer Electronics, 6519
MSON, Healthcare, Medical Devices, 6520
MSP, Technology, Software - Application, 6521
MSTR, Technology, Software - Application, 6524
MSVB, Financial Services, Banks - Regional, 6525
MT.AS, Basic Materials, Steel, 6527
MTAC, Financial Services, Shell Companies, 6528
MTB, Financial Services, Banks - Regional, 6529
MTBC, Healthcare, Health Information Services, 6530
MTC, Technology, Software - Application, 6531
MTC.L, Technology, Software - Application, 6532
MTCH, Communication Services, Internet Content & Information, 6533
MTCR, Healthcare, Biotechnology, 6534
MTD, Healthcare, Diagnostics & Research, 6535
MTDR, Energy, Oil & Gas E&P, 6536
MTEM, Healthcare, Biotechnology, 6538
MTEX, Consumer Defensive, Household & Personal Products, 6539
MTG, Financial Services, Insurance - Specialty, 6540
MTGGY, Consumer Defensive, Food Distribution, 6541
MTH, Consumer Cyclical, Residential Construction, 6542
MTHRY, Healthcare, Health Information Services, 6543
MTL, Basic Materials, Steel, 6544
MTLHY, Basic Materials, Chemicals, 6546
MTLS, Technology, Software - Application, 6547
MTN, Consumer Cyclical, Resorts & Casinos, 6548
MTNB, Healthcare, Biotechnology, 6549
MTOR, Consumer Cyclical, Auto Parts, 6551
MTP, Healthcare, Biotechnology, 6552
MTR.L, Energy, Oil & Gas E&P, 6554
MTRN, Basic Materials, Other Industrial Metals & Mining, 6555
MTRX, Industrials, Engineering & Construction, 6557
MTSFY, Real Estate, Real Estate - Diversified, 6558
MTSI, Technology, Semiconductors, 6559
MTSL, Communication Services, Telecom Services, 6560
MTUAY, Industrials, Aerospace & Defense, 6562
MTW, Industrials, Farm & Heavy Construction Machinery, 6564
MTX.DE, Basic Materials, Chemicals, 6565
MTX, Basic Materials, Chemicals, 6566
MTZ, Industrials, Engineering & Construction, 6567
MU, Technology, Semiconductors, 6568
MUDS, Financial Services, Shell Companies, 6570
MUEL, Industrials, Metal Fabrication, 6571
MUFG, Financial Services, Banks - Diversified, 6572
MULG, Basic Materials, Agricultural Inputs, 6574
MUR, Energy, Oil & Gas E&P, 6578
MURGY, Financial Services, Insurance - Reinsurance, 6579
MUSA, Consumer Cyclical, Specialty Retail, 6581
MUX, Basic Materials, Other Precious Metals & Mining, 6585
MVBF, Financial Services, Banks - Regional, 6586
MVIS, Technology, Scientific & Technical Instruments, 6588
MVLY, Financial Services, Banks - Regional, 6589
MWA, Industrials, Specialty Industrial Machinery, 6591
MX, Technology, Semiconductors, 6594
MXC, Energy, Oil & Gas E&P, 6595
MXC.L, Energy, Oil & Gas E&P, 6596
MXIM, Technology, Semiconductors, 6599
MXL, Technology, Semiconductors, 6600
MYBF, Financial Services, Banks - Regional, 6605
MYE, Consumer Cyclical, Packaging & Containers, 6606
MYFW, Financial Services, Banks - Regional, 6607
MYGN, Healthcare, Diagnostics & Research, 6608
MYMD , Healthcare, Biotechnology, 6610
MYO, Healthcare, Medical Devices, 6611
MYOV, Healthcare, Biotechnology, 6612
MYRG, Industrials, Engineering & Construction, 6613
MYSL.L, Communication Services, Advertising Agencies, 6615
MYSZ, Technology, Software - Application, 6616
MYT, Consumer Cyclical, Restaurants, 6617
MYTE, Consumer Cyclical, Luxury Goods, 6618
MZDAY, Consumer Cyclical, Auto Manufacturers, 6619
NAAC, Financial Services, Shell Companies, 6623
NABZY, Financial Services, Banks - Diversified, 6624
NACB, Financial Services, Banks - Regional, 6625
NAII, Consumer Defensive, Packaged Foods, 6627
NAK, Basic Materials, Other Industrial Metals & Mining, 6629
NAKD, Consumer Cyclical, Apparel Manufacturing, 6630
NANX, Basic Materials, Specialty Chemicals, 6632
NAOV, Healthcare, Medical Devices, 6633
NAPA, Consumer Defensive, Beverages - Wineries & Distilleries, 6634
NARI, Healthcare, Medical Devices, 6637
NASB, Financial Services, Banks - Regional, 6639
NAT, Industrials, Marine Shipping, 6642
NATH, Consumer Cyclical, Restaurants, 6643
NATI, Technology, Software - Application, 6644
NATR, Consumer Defensive, Household & Personal Products, 6645
NAUH, Consumer Defensive, Education & Training Services, 6646
NAV, Industrials, Farm & Heavy Construction Machinery, 6647
NAVB, Healthcare, Biotechnology, 6648
NAVI, Financial Services, Credit Services, 6649
NBA, Financial Services, Shell Companies, 6651
NBEV, Consumer Defensive, Beverages - Non-Alcoholic, 6652
NBHC, Financial Services, Banks - Regional, 6653
NBIX, Healthcare, Biotechnology, 6655
NBN, Financial Services, Banks - Regional, 6658
NBR, Energy, Oil & Gas Drilling, 6659
NBRV, Healthcare, Biotechnology, 6660
NBSE, Healthcare, Biotechnology, 6661
NBST, Financial Services, Shell Companies, 6662
NBTB, Financial Services, Banks - Regional, 6663
NBTX, Healthcare, Biotechnology, 6664
NBY, Healthcare, Biotechnology, 6665
NC, Energy, Thermal Coal, 6666
NCBDY, Consumer Cyclical, Leisure, 6667
NCBS, Financial Services, Banks - Regional, 6668
NCHEY, Consumer Defensive, Packaged Foods, 6671
NCLH, Consumer Cyclical, Travel Services, 6672
NCLTY, Consumer Cyclical, Specialty Retail, 6673
NCMGY, Basic Materials, Gold, 6674
NCMI, Communication Services, Advertising Agencies, 6675
NCNA, Healthcare, Biotechnology, 6676
NCNO, Technology, Software - Application, 6677
NCR, Technology, Information Technology Services, 6678
NCSM, Energy, Oil & Gas Equipment & Services, 6679
NCTY, Communication Services, Electronic Gaming & Multimedia, 6680
NDAC, Financial Services, Shell Companies, 6684
NDAQ, Financial Services, Financial Data & Stock Exchanges, 6685
NDBKY, Financial Services, Banks - Regional, 6686
NDEKY, Basic Materials, Specialty Chemicals, 6687
NDLS, Consumer Cyclical, Restaurants, 6689
NDRA, Healthcare, Diagnostics & Research, 6690
NDSN, Industrials, Specialty Industrial Machinery, 6691
NEBC, Financial Services, Shell Companies, 6693
NECB, Financial Services, Banks - Regional, 6694
NEE, Utilities, Utilities - Regulated Electric, 6696
NEFB, Financial Services, Banks - Regional, 6697
NEM, Basic Materials, Gold, 6698
NEM.DE, Basic Materials, Gold, 6699
NEO, Healthcare, Diagnostics & Research, 6700
NEOG, Healthcare, Diagnostics & Research, 6702
NEON, Technology, Electronic Components, 6703
NEP, Utilities, Utilities - Renewable, 6704
NEPH, Healthcare, Medical Instruments & Supplies, 6705
NEPT, Healthcare, Drug Manufacturers - Specialty & Generic, 6706
NERV, Healthcare, Biotechnology, 6707
NES, Industrials, Waste Management, 6708
NESR, Energy, Oil & Gas Equipment & Services, 6711
NET, Technology, Software - Infrastructure, 6712
NETE, Technology, Software - Infrastructure, 6713
NETI, Industrials, Marine Shipping, 6714
NEU, Basic Materials, Specialty Chemicals, 6716
NEW, Consumer Defensive, Education & Training Services, 6717
NEWA, Industrials, Pollution & Treatment Controls, 6718
NEWR, Technology, Software - Infrastructure, 6720
NEWT, Financial Services, Asset Management, 6721
NEX, Energy, Oil & Gas Equipment & Services, 6722
NEX.L, Energy, Oil & Gas Equipment & Services, 6723
NEXA, Basic Materials, Other Industrial Metals & Mining, 6724
NEXI, Healthcare, Biotechnology, 6725
NEXOY, Communication Services, Electronic Gaming & Multimedia, 6726
NEXT, Energy, Oil & Gas E&P, 6728
NFBK, Financial Services, Banks - Regional, 6729
NFE, Utilities, Utilities - Regulated Gas, 6732
NFG, Energy, Oil & Gas Integrated, 6733
NFH, Healthcare, Medical Care Facilities, 6734
NFLX, Communication Services, Entertainment, 6739
NG, Basic Materials, Gold, 6741
NG.L, Basic Materials, Gold, 6742
NGAB, Financial Services, Shell Companies, 6743
NGAC, Financial Services, Shell Companies, 6744
NGC, Financial Services, Shell Companies, 6748
NGCA, Financial Services, Shell Companies, 6749
NGG, Utilities, Utilities - Regulated Electric, 6750
NGKSY, Consumer Cyclical, Auto Parts, 6752
NGLOY, Basic Materials, Other Industrial Metals & Mining, 6753
NGM, Healthcare, Biotechnology, 6754
NGMS, Communication Services, Electronic Gaming & Multimedia, 6755
NGS, Energy, Oil & Gas Equipment & Services, 6756
NGVC, Consumer Defensive, Grocery Stores, 6757
NGVT, Basic Materials, Specialty Chemicals, 6758
NH, Healthcare, Health Information Services, 6759
NHC, Healthcare, Medical Care Facilities, 6760
NHI, Real Estate, REIT - Healthcare Facilities, 6761
NHIC, Financial Services, Shell Companies, 6762
NHNKY, Healthcare, Medical Devices, 6763
NHTC, Consumer Cyclical, Internet Retail, 6764
NHYDY, Basic Materials, Aluminum, 6765
NI, Utilities, Utilities - Regulated Gas, 6766
NICE, Technology, Software - Application, 6767
NICK.L, Financial Services, Credit Services, 6768
NICK, Financial Services, Credit Services, 6769
NIDB, Financial Services, Banks - Regional, 6771
NIFCY, Consumer Cyclical, Auto Parts, 6772
NILSY, Basic Materials, Other Industrial Metals & Mining, 6774
NINE, Energy, Oil & Gas Equipment & Services, 6775
NINOY, Consumer Cyclical, Leisure, 6776
NIO, Consumer Cyclical, Auto Manufacturers, 6777
NIPMY, Consumer Defensive, Packaged Foods, 6778
NISN, Industrials, Specialty Industrial Machinery, 6779
NIU, Consumer Cyclical, Auto Manufacturers, 6780
NJDCY, Industrials, Specialty Industrial Machinery, 6781
NJMC, Basic Materials, Gold, 6782
NJR, Utilities, Utilities - Regulated Gas, 6783
NKE, Consumer Cyclical, Footwear & Accessories, 6785
NKLA, Consumer Cyclical, Auto Manufacturers, 6786
NKRKY, Consumer Cyclical, Auto Parts, 6787
NKSH, Financial Services, Banks - Regional, 6788
NKTR, Healthcare, Biotechnology, 6789
NKTX, Healthcare, Biotechnology, 6790
NL, Industrials, Security & Protection Services, 6791
NLOK, Technology, Software - Infrastructure, 6792
NLS, Consumer Cyclical, Leisure, 6793
NLSN, Industrials, Consulting Services, 6794
NLSP, Healthcare, Biotechnology, 6795
NLST, Technology, Semiconductors, 6796
NLTX, Healthcare, Drug Manufacturers - Specialty & Generic, 6797
NLY, Real Estate, REIT - Mortgage, 6798
NM, Industrials, Marine Shipping, 6799
NMFC, Financial Services, Asset Management, 6802
NMIH, Financial Services, Insurance - Property & Casualty, 6804
NMMC, Financial Services, Shell Companies, 6805
NMR, Financial Services, Capital Markets, 6806
NMRD, Healthcare, Medical Devices, 6807
NMRK, Real Estate, Real Estate Services, 6808
NMTR, Healthcare, Biotechnology, 6809
NNA, Energy, Oil & Gas Midstream, 6811
NNBR, Industrials, Conglomerates, 6812
NNCHY, Basic Materials, Chemicals, 6813
NNDM, Technology, Computer Hardware, 6814
NNGRY, Financial Services, Insurance - Diversified, 6815
NNI, Financial Services, Credit Services, 6816
NNN, Real Estate, REIT - Retail, 6817
NNOX, Healthcare, Medical Devices, 6818
NNUP, Basic Materials, Specialty Chemicals, 6819
NNVC, Healthcare, Biotechnology, 6820
NNXPF, Basic Materials, Chemicals, 6821
NOAC, Financial Services, Shell Companies, 6822
NOAH, Financial Services, Asset Management, 6823
NOBH, Consumer Cyclical, Residential Construction, 6824
NOC, Industrials, Aerospace & Defense, 6825
NODB, Financial Services, Banks - Regional, 6826
NODK, Financial Services, Insurance - Property & Casualty, 6827
NOG, Energy, Oil & Gas E&P, 6829
NOG.L, Energy, Oil & Gas E&P, 6830
NOK, Technology, Communication Equipment, 6831
NOMD, Consumer Defensive, Packaged Foods, 6832
NOTV, Healthcare, Diagnostics & Research, 6833
NOV, Energy, Oil & Gas Equipment & Services, 6834
NOVA, Technology, Solar, 6835
NOVN.SW, Healthcare, Biotechnology, 6836
NOVN, Healthcare, Biotechnology, 6837
NOVT, Technology, Scientific & Technical Instruments, 6838
NOW, Technology, Software - Application, 6839
NP, Basic Materials, Paper & Paper Products, 6840
NPACY, Technology, Software - Application, 6841
NPCE, Healthcare, Medical Devices, 6842
NPK, Industrials, Aerospace & Defense, 6843
NPKYY, Basic Materials, Chemicals, 6844
NPNYY, Industrials, Marine Shipping, 6845
NPO, Industrials, Specialty Industrial Machinery, 6846
NPPNY, Healthcare, Drug Manufacturers - Specialty & Generic, 6847
NPSCY, Basic Materials, Steel, 6848
NPSKY, Consumer Cyclical, Auto Parts, 6849
NPSNY, Communication Services, Internet Content & Information, 6850
NPTN, Technology, Semiconductors, 6851
NR, Energy, Oil & Gas Equipment & Services, 6853
NRAC, Financial Services, Shell Companies, 6854
NRBO, Healthcare, Biotechnology, 6856
NRC, Healthcare, Diagnostics & Research, 6857
NRDBY, Financial Services, Banks - Regional, 6858
NREF, Real Estate, REIT - Diversified, 6859
NRG, Utilities, Utilities - Independent Power Producers, 6860
NRILY, Technology, Information Technology Services, 6861
NRIM, Financial Services, Banks - Regional, 6862
NRIX, Healthcare, Biotechnology, 6863
NROM, Consumer Cyclical, Restaurants, 6866
NRZ, Real Estate, REIT - Mortgage, 6868
NS, Energy, Oil & Gas Midstream, 6869
NS, Energy, Oil & Gas Midstream, 6870
NSC, Industrials, Railroads, 6871
NSEC, Financial Services, Insurance - Property & Casualty, 6873
NSH, Financial Services, Shell Companies, 6875
NSIT, Technology, Information Technology Services, 6878
NSP, Industrials, Staffing & Employment Services, 6879
NSPR, Healthcare, Medical Devices, 6880
NSRGY, Consumer Defensive, Packaged Foods, 6881
NSSC, Industrials, Security & Protection Services, 6882
NSTB, Financial Services, Shell Companies, 6883
NSTG, Healthcare, Medical Instruments & Supplies, 6884
NSYC, Industrials, Specialty Business Services, 6885
NSYS, Technology, Electronic Components, 6886
NTAP, Technology, Computer Hardware, 6887
NTCO, Consumer Defensive, Household & Personal Products, 6888
NTCT, Technology, Software - Infrastructure, 6889
NTDOY, Communication Services, Electronic Gaming & Multimedia, 6890
NTDTY, Technology, Information Technology Services, 6891
NTEC, Healthcare, Biotechnology, 6893
NTES, Communication Services, Internet Content & Information, 6894
NTGR, Technology, Communication Equipment, 6896
NTIC, Basic Materials, Specialty Chemicals, 6899
NTIP, Technology, Communication Equipment, 6900
NTLA, Healthcare, Biotechnology, 6901
NTNX, Technology, Software - Infrastructure, 6903
NTOIY, Energy, Oil & Gas Refining & Marketing, 6905
NTP, Real Estate, Real Estate Services, 6906
NTR, Basic Materials, Agricultural Inputs, 6908
NTRA, Healthcare, Diagnostics & Research, 6909
